R2_BAT,117.40,29.43,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT1,21.13,16.27,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,153.01,-16.43,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB,155.75,34.55,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB1,146.09,31.09,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,80.39,11.91,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,48.05,8.21,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,44.67,-4.99,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,8.69,76.61,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,4.21,76.61,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,38.33,21.61,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,44.65,-0.29,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,45.23,83.62,0.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,32.42,82.77,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR1,93.25,38.24,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,72.52,82.54,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,50.69,83.29,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,160.84,-11.59,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,37.01,-9.81,180.00,,SJ
TP1,132.46,-3.91,0.00,TPTP20R,TP20R
TP10,141.04,35.01,0.00,TPTP20R,TP20R
TP11,7.24,48.89,0.00,TPTP20R,TP20R
TP12,125.79,-3.79,0.00,TPTP20R,TP20R
TP13,119.44,-3.79,0.00,TPTP20R,TP20R
TP14,113.09,-3.79,0.00,TPTP20R,TP20R
TP15,26.29,48.89,0.00,TPTP20R,TP20R
TP16,19.94,48.89,0.00,TPTP20R,TP20R
TP17,13.59,48.89,0.00,TPTP20R,TP20R
TP2,70.48,66.79,0.00,TPTP20R,TP20R
TP3,65.40,66.79,0.00,TPTP20R,TP20R
TP4,60.32,66.79,0.00,TPTP20R,TP20R
TP5,55.24,66.79,0.00,TPTP20R,TP20R
TP6,141.06,40.99,0.00,TPTP20R,TP20R
TP7,88.08,77.29,0.00,TPTP20R,TP20R
TP8,83.00,77.29,0.00,TPTP20R,TP20R
TP9,77.92,77.29,0.00,TPTP20R,TP20R
U1,126.48,26.39,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,16.00,29.44,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,135.27,26.92,0.00,MAX17048G+T10,SON50P200X200X80-9N
U4,84.35,32.90,90.00,DS3231SN#,SOIC127P1032X265-16N
U50,43.99,28.96,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
